country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burundi,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700
Cambodia,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000
Cameroon,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000,473000
Canada,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000,9090000
Cape Verde,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
Central African Republic,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000,623000
Chad,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000
Chile,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000
China,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000,9390000
Colombia,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000,1110000
Comoros,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
"Congo, Dem. Rep.",2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000,2270000
"Congo, Rep.",342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000
Costa Rica,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100
Cote d'Ivoire,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
Croatia,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,56000,56000,55900,55900,55900,55900,55900,55900,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
Cuba,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,106000,106000,106000,106000,106000,106000,106000,106000,106000,107000,106000,104000,104000,104000,104000,104000,104000
