country	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Eritrea	NA	62.7	0.091	1.64	20.9	21.1	126	126	4.11	4.17	5.74	11.9	101000	-7	20	NA	1450	NA
Estonia	0.691	78.1	0.388	17.2	26.3	25.2	130	130	5.16	5.23	671	853	43500	9	71	0.287	33800	0.991
Eswatini	0.24	59.9	0.089	5.05	23.2	28.4	132	132	4.4	4.55	129	203	17200	-9	39	0.184	9470	0.584
Ethiopia	0.212	68.4	0.043	4.1	20.3	20.7	127	127	4.11	4.18	8.41	15.7	1000000	1	35	0.373	2110	0.0732
Fiji	0.568	68.1	0.144	2.76	26.5	29.3	128	128	5.16	5.03	108	154	18300	-4	NA	0.196	10500	0.951
Finland	0.854	81.4	0.281	13.1	26.7	25.6	127	127	5.18	5.34	2990	3980	304000	10	85	0.46	43500	0.994
France	0.807	82.8	0.317	12.5	25.9	24.8	120	120	5.36	5.33	3650	4690	548000	9	70	0.372	40800	0.987
Gabon	0.897	68.4	NA	9.46	24.1	25.9	130	130	4.72	4.9	160	302	258000	3	32	0.161	16900	0.474
Gambia	0.619	65.8	0.162	3.58	21.6	24.8	130	130	4	4.23	13.3	26.1	10100	-5	30	0.0862	1660	0.392
Georgia	0.59	72.8	0.319	6.66	25.6	26.4	131	131	4.6	4.71	64.2	272	69500	6	56	0.141	11800	0.9
Germany	0.774	80.6	0.316	12.1	27.2	25.7	125	125	5.56	5.37	3600	4670	349000	10	81	0.316	47400	0.992
Ghana	0.567	65.5	0.055	3.11	22.8	24.3	128	128	3.88	4.17	39.9	67	228000	8	40	0.131	4710	0.185
Greece	0.794	81	0.518	11	26.3	24.9	123	123	4.99	4.93	1620	2730	129000	10	48	0.217	26900	0.99
Grenada	0.364	74.1	NA	10.7	25.2	27.3	126	126	4.45	4.71	198	439	340	NA	52	0.393	15000	0.915
Guatemala	0.514	72.6	0.144	7.1	25.3	26.8	121	121	4.22	4.54	68.7	197	107000	8	28	0.194	7850	0.651
Guinea	0.365	60.7	NA	0.79	22.5	22.4	132	132	3.92	4.16	2.6	23	246000	5	27	0.167	2580	0.227
Guinea-Bissau	0.438	60	NA	3.9	21.6	22.9	131	131	3.87	4.06	4.7	46.9	28100	6	17	0.137	1720	0.205
Guyana	0.267	69.2	NA	8.7	23.7	26.5	125	125	4.1	4.39	136	159	197000	6	38	0.357	8480	0.858
Haiti	0.562	65	NA	5.92	23.7	23.3	125	125	4.07	4.36	9.95	46.4	27600	0	22	0	1650	0.347
Honduras	0.577	74	NA	4.43	25.1	26.7	123	123	4.31	4.57	NA	NA	112000	7	29	0.211	4800	0.813
Hungary	0.716	76.8	0.398	16.1	27.1	26	129	129	5.13	5.17	654	942	90500	10	45	0.121	31600	0.98
Iceland	0.939	82.8	0.263	7.38	27.2	26	119	119	5.68	5.58	3000	3720	100000	NA	77	0.381	47800	0.988
India	0.345	69	0.186	2.69	21	21.3	123	123	4.34	4.48	15.8	54.3	2970000	9	40	0.131	8100	0.595
Indonesia	0.56	71.5	0.354	0.56	21.9	23	126	126	4.52	4.71	37.7	76.9	1810000	8	37	0.204	13100	0.731
Iran	0.754	77.3	0.176	1.03	25.3	27.2	125	125	5	5.26	127	317	1630000	-7	30	0.0559	15900	0.884
Iraq	0.707	76.7	0.142	0.47	26.7	28.4	126	126	4.83	4.89	200	247	434000	3	18	0.264	16200	0.941
Ireland	0.634	81.8	0.263	14.9	27.6	26.6	125	125	5.43	5.32	2930	4240	68900	10	74	0.273	75700	0.912
Israel	0.925	83	0.246	2.52	27.1	27.3	121	121	5.04	5.17	1320	2180	21600	10	62	0.275	34800	1
Italy	0.707	83.2	0.261	9.72	26.5	24.8	124	124	5.32	5.36	2520	3250	294000	10	50	0.353	36400	0.988
Jamaica	0.56	74.7	0.15	5.17	24	27.2	125	125	4.42	4.7	132	247	10800	9	44	0.309	8440	0.873
Japan	0.917	84.2	0.294	7.79	23.5	21.9	122	122	5.19	5.19	3360	4070	365000	10	73	0.144	40400	0.999
Jordan	0.912	79.3	0.365	0.65	27.5	29.2	121	121	4.95	5.03	242	357	88800	-3	48	0.138	8560	0.973
Kazakhstan	0.575	72	0.266	11.1	26.3	26.6	129	129	4.87	4.93	234	393	2700000	-6	31	0.245	26600	0.979
Kenya	0.275	65.9	0.147	3.88	21.6	23.1	130	130	4.31	4.37	16.3	36.9	569000	8	28	0.233	3360	0.291
Kiribati	0.548	62.4	NA	2.7	29.2	31.3	122	122	4.53	4.73	131	160	810	NA	NA	0.0889	2070	0.478
Kuwait	1	83.1	NA	0.1	29.2	31.2	123	123	5.16	5.19	983	1220	17800	-7	39	0.0635	64200	1
Kyrgyz Republic	0.366	72.7	0.247	4.72	24.8	25.7	130	130	4.38	4.51	30.1	53.5	192000	7	29	0.192	3610	0.965
Lao	0.356	67.6	0.405	6.99	21.1	22	123	123	4.38	4.54	15.4	46.2	231000	-7	29	0.275	7670	0.745
Latvia	0.682	75.2	0.394	13.4	26.5	25.6	130	130	5.14	5.18	439	718	62200	8	58	0.3	29000	0.921
Lebanon	0.888	78	0.181	2.3	27.2	27.7	128	128	4.76	4.97	255	651	10200	7	28	0.0469	12300	0.985
Lesotho	0.286	54.7	NA	5.56	21.9	26.8	131	131	4.11	4.27	83	109	30400	8	42	0.23	2970	0.428
Liberia	0.516	64.4	NA	5.07	21.9	23.2	131	131	3.81	4.05	9.49	29.2	96300	6	31	0.0971	1110	0.17
Libya	0.804	73	NA	0.1	26.5	29.2	134	134	4.59	4.69	333	484	1760000	0	17	0.16	14500	1
Liechtenstein	0.144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	160	NA	NA	0.12	NA	1
Lithuania	0.679	75	0.33	16.3	26.9	26	131	131	5.14	5.15	574	781	62600	10	59	0.241	34600	0.934
Luxembourg	0.912	81.7	0.347	12.8	27.4	26.1	122	122	5.55	5.45	6910	8180	2430	NA	82	0.3	95800	0.976
Madagascar	0.379	63.5	NA	1.32	21.4	20.7	133	133	4.22	4.3	9.59	15.9	582000	0	24	0.183	1560	0.105
Malawi	0.172	63.2	0.15	1.44	22	22.9	134	134	4.23	4.36	15.4	25.6	94300	6	31	0.229	1240	0.262
Malaysia	0.766	74.7	0.288	0.87	24.7	25.4	124	124	4.98	5.12	204	368	329000	6	47	0.159	31000	0.996
Maldives	0.402	81.5	0.282	NA	23.2	26.4	123	123	4.63	4.91	231	383	300	NA	33	0.046	15400	0.994
Mali	0.431	62	0.112	0.99	21.8	23.1	128	128	3.98	4.14	14.8	31.7	1220000	7	31	0.279	2180	0.393
Malta	0.947	81	0.287	4.1	27.7	27.1	124	124	5.3	5.24	1110	1700	320	NA	56	0.134	41300	1
Marshall Islands	0.774	64.5	NA	NA	29.4	31.4	122	122	4.81	5.02	433	520	180	NA	NA	0.0606	3670	0.835
Mauritania	0.545	70.5	0.131	0.11	22.6	26.3	130	130	4.15	4.27	22.7	42.7	1030000	-2	28	0.203	4170	0.484
Mauritius	0.408	74.8	0.185	3.53	25.2	26.1	131	131	4.93	4.92	187	449	2030	10	50	0.2	23600	0.955
Mexico	0.804	75.5	0.247	8.55	27.4	28.7	122	122	4.93	5.15	NA	NA	1940000	8	29	0.484	18300	0.912
Micronesia, Fed. Sts.	0.228	67.2	NA	5.25	28.1	31.3	125	125	4.95	4.96	334	366	700	NA	NA	0	3280	0.883
Moldova	0.427	72.9	0.26	23	24.2	27.1	130	130	4.58	4.67	87.2	190	32900	8	31	0.248	7250	0.763
Monaco	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5570	6330	NA	NA	NA	0.333	62700	1
Mongolia	0.685	68.9	0.263	3.41	24.9	25.7	130	130	4.66	4.71	66.2	120	1550000	10	36	0.173	13600	0.585
Montenegro	0.672	76.5	NA	NA	26.6	25.7	129	129	4.94	5	389	578	13500	9	46	0.222	18700	0.978
Morocco	0.63	74	0.15	1.24	25.6	26.2	127	127	4.53	4.69	56.2	148	446000	-4	40	0.184	8220	0.885
Mozambique	0.365	58.4	0.128	2.27	21.9	23.3	135	135	4.33	4.37	15.3	21.3	786000	5	25	0.424	1220	0.294
Myanmar	0.309	68.5	0.302	0.58	21.4	22.5	123	123	4.33	4.54	2.09	17.1	653000	-3	30	0.114	6970	0.643
Namibia	0.51	66.5	0.249	12.1	22.6	25.1	133	133	4.46	4.6	211	361	823000	6	51	0.363	9720	0.345
Nauru	1	NA	0.492	4.81	33.9	35	127	127	4.77	5.07	489	713	20	NA	NA	0.105	13400	0.656
Nepal	0.202	70.9	0.306	2.42	20.8	20.7	126	126	4.15	4.27	9.9	NA	143000	6	31	0.336	3150	0.621
Netherlands	0.919	81.5	0.343	9.75	26	25.5	122	122	5.35	5.28	4430	5590	33700	10	82	0.351	51800	0.977
New Zealand	0.866	81.6	0.286	9.99	27.8	27.4	119	119	5.19	5.19	2730	3280	263000	10	89	0.408	37000	1
Nicaragua	0.588	78.8	NA	5.21	25.8	27.6	124	124	4.33	4.57	NA	NA	120000	9	26	0.473	4480	0.744
