Country	Cases	Deaths	Population	continent	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Saint Lucia	4534	74	183629	Americas	0.188	75.5	0.206	12.1	24.6	27.2	125	125	4.58	4.8	282	465	610	3.9751552795031055	55	0.207	13100	0.884
Saint Vincent and the Grenadines	1855	11	110947	Americas	0.526	72.3	0.247484375	4.99	25.4	27.5	125	125	4.53	4.78	240	278	390	3.9751552795031055	58	0.13	11700	0.872
Samoa	3	0	196130	Oceania	0.181	72.9	0.41	4.51	30.4	33.7	126	126	4.48	4.69	179	204	2830	3.9751552795031055	42.7909604519774	0.1	6540	0.982
San Marino	5060	90	33938	Europe	0.974	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	3120	3660	60	3.9751552795031055	42.7909604519774	0.333	58100	1
Sao Tome and Principe	2301	35	219161	Africa	0.736	66.9	0.169	8.45	23.5	24.9	136	136	3.94	4.17	34.5	90	960	3.9751552795031055	46	0.146	3140	0.43
Saudi Arabia	416307	6946	34813867	Asia	0.841	76.9	0.147	0.34	27.9	29.6	127	127	4.63	4.84	427	680	2150000	-10	49	0.199	48300	1
Senegal	40295	1107	16743930	Africa	0.477	68	0.107	0.51	21.9	24.3	130	130	4.08	4.24	32.5	58.5	193000	7	45	0.43	3740	0.515
Serbia	687944	6337	8737370	Europe	0.563	75.7	0.423	12.2	26.5	25.7	130	130	4.92	5.09	338	546	87500	8	41	0.388	18200	0.976
Seychelles	5559	26	98340	Africa	0.571	73.6	0.212	12.1	25.6	28	129	129	5.23	5.18	339	369	460	3.9751552795031055	60	0.212	29400	1
Sierra Leone	4053	79	7976985	Africa	0.425	60.4	0.247484375	9.48	22.5	23.9	135	135	3.82	4.05	4.82	42.5	72200	7	30	0.123	1540	0.157
Singapore	61121	30	5850343	Asia	1	84.8	0.247484375	1.54	23.8	22.9	121	121	5.17	5.3	629	1730	709	-2	84	0.295	91400	1
Slovakia	381744	11647	5459643	Europe	0.537	77.4	0.309	13.3	26.9	26.3	130	130	5.07	5.09	930	1410	48100	10	50	0.227	33800	0.979
Slovenia	239339	4243	2078932	Europe	0.548	81.1	0.265	14.9	27.4	26.6	130	130	5.18	5.2	1590	2150	20100	10	61	0.223	35600	0.991
Solomon Islands	20	0	652858	Oceania	0.242	68.5	0.247484375	1.37	27.2	28.9	124	124	4.45	4.67	99.6	107	28000	8	39	0.0638	2180	0.335
Somalia	13915	713	15893219	Africa	0.456	58.5	0.247484375	0.5	22	22.7	132	132	4.22	4.33	729.5684324324325	1030.9251366120218	627000	0	9	0.243	636	0.383
South Africa	1579536	54331	59308690	Africa	0.669	66.3	0.184	10.2	26.9	29.5	131	131	4.48	4.71	286	649	1210000	9	43	0.454	12000	0.757
South Sudan	10567	114	11193729	Africa	0.199	59.3	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	729.5684324324325	1030.9251366120218	664305.219895288	0	12	0.266	1980	0.113
Spain	3514942	78080	46754783	Europe	0.806	83.1	0.337	11.8	27.5	26.3	122	122	5.22	5.12	2100	2880	500000	10	57	0.419	36600	0.999
Sri Lanka	106484	661	21413250	Asia	0.186	77.5	0.165	0.81	22	23.1	125	125	4.49	4.69	31.3	70	62700	4	38	0.0538	12800	0.958
