Entity	Date	CumulativeTesting	Daily.change.in.cumulative.total
Libya - samples tested	2021-03-16	NA	NA
Libya - samples tested	2021-03-17	NA	NA
Libya - samples tested	2021-03-18	NA	6366
Libya - samples tested	2021-03-19	NA	NA
Libya - samples tested	2021-03-20	NA	NA
Libya - samples tested	2021-03-21	NA	5411
Libya - samples tested	2021-03-22	NA	NA
Libya - samples tested	2021-03-23	NA	5832
Libya - samples tested	2021-03-24	NA	4731
Libya - samples tested	2021-03-25	NA	3768
Libya - samples tested	2021-03-26	NA	NA
Libya - samples tested	2021-03-27	NA	4340
Libya - samples tested	2021-03-28	NA	3911
Libya - samples tested	2021-03-29	NA	4433
Libya - samples tested	2021-03-30	NA	3500
Libya - samples tested	2021-03-31	NA	6480
Libya - samples tested	2021-04-01	NA	6322
Libya - samples tested	2021-04-02	NA	NA
Libya - samples tested	2021-04-03	NA	6331
Libya - samples tested	2021-04-04	NA	6547
Libya - samples tested	2021-04-05	NA	6179
Libya - samples tested	2021-04-06	NA	5547
Libya - samples tested	2021-04-07	NA	5686
Libya - samples tested	2021-04-08	NA	4145
Libya - samples tested	2021-04-09	NA	NA
Libya - samples tested	2021-04-10	NA	4864
Libya - samples tested	2021-04-11	NA	4427
Libya - samples tested	2021-04-12	NA	3939
Libya - samples tested	2021-04-13	NA	2356
Libya - samples tested	2021-04-14	NA	2749
Libya - samples tested	2021-04-15	NA	NA
Libya - samples tested	2021-04-16	NA	NA
Libya - samples tested	2021-04-17	NA	NA
Libya - samples tested	2021-04-18	NA	2608
Libya - samples tested	2021-04-19	NA	2672
Libya - samples tested	2021-04-20	NA	2449
Libya - samples tested	2021-04-21	NA	2786
Libya - samples tested	2021-04-22	NA	2665
Libya - samples tested	2021-04-23	NA	NA
Libya - samples tested	2021-04-24	NA	2762
Libya - samples tested	2021-04-25	NA	2849
Libya - samples tested	2021-04-26	NA	3007
Libya - samples tested	2021-04-27	NA	2412
Libya - samples tested	2021-04-28	NA	2081
Libya - samples tested	2021-04-29	NA	2687
Libya - samples tested	2021-04-30	NA	NA
Libya - samples tested	2021-05-01	NA	2320
Libya - samples tested	2021-05-02	NA	3187
Libya - samples tested	2021-05-03	NA	1929
Libya - samples tested	2021-05-04	NA	1710
Libya - samples tested	2021-05-05	NA	1881
Libya - samples tested	2021-05-06	NA	2952
Liechtenstein - tests performed	2020-05-23	15	15
Liechtenstein - tests performed	2020-05-24	20	5
Liechtenstein - tests performed	2020-05-25	146	126
Liechtenstein - tests performed	2020-05-26	261	115
Liechtenstein - tests performed	2020-05-27	355	94
Liechtenstein - tests performed	2020-05-28	395	40
Liechtenstein - tests performed	2020-05-29	424	29
Liechtenstein - tests performed	2020-05-30	427	3
Liechtenstein - tests performed	2020-05-31	441	14
Liechtenstein - tests performed	2020-06-01	451	10
Liechtenstein - tests performed	2020-06-02	598	147
Liechtenstein - tests performed	2020-06-03	706	108
Liechtenstein - tests performed	2020-06-04	782	76
Liechtenstein - tests performed	2020-06-05	804	22
Liechtenstein - tests performed	2020-06-06	808	4
Liechtenstein - tests performed	2020-06-07	820	12
Liechtenstein - tests performed	2020-06-08	931	111
Liechtenstein - tests performed	2020-06-09	1013	82
Liechtenstein - tests performed	2020-06-10	1091	78
Liechtenstein - tests performed	2020-06-11	1096	5
Liechtenstein - tests performed	2020-06-12	1115	19
Liechtenstein - tests performed	2020-06-13	1117	2
Liechtenstein - tests performed	2020-06-14	1124	7
Liechtenstein - tests performed	2020-06-15	1253	129
Liechtenstein - tests performed	2020-06-16	1369	116
Liechtenstein - tests performed	2020-06-17	1461	92
Liechtenstein - tests performed	2020-06-18	1491	30
Liechtenstein - tests performed	2020-06-19	1520	29
Liechtenstein - tests performed	2020-06-20	1521	1
Liechtenstein - tests performed	2020-06-21	1527	6
Liechtenstein - tests performed	2020-06-22	1564	37
Liechtenstein - tests performed	2020-06-23	1596	32
Liechtenstein - tests performed	2020-06-24	1630	34
Liechtenstein - tests performed	2020-06-25	1653	23
Liechtenstein - tests performed	2020-06-26	1678	25
Liechtenstein - tests performed	2020-06-27	1680	2
Liechtenstein - tests performed	2020-06-28	1681	1
Liechtenstein - tests performed	2020-06-29	1831	150
Liechtenstein - tests performed	2020-06-30	1934	103
Liechtenstein - tests performed	2020-07-01	2031	97
Liechtenstein - tests performed	2020-07-02	2091	60
Liechtenstein - tests performed	2020-07-03	2129	38
Liechtenstein - tests performed	2020-07-04	2137	8
Liechtenstein - tests performed	2020-07-05	2156	19
Liechtenstein - tests performed	2020-07-06	2198	42
Liechtenstein - tests performed	2020-07-07	2233	35
Liechtenstein - tests performed	2020-07-08	2265	32
Liechtenstein - tests performed	2020-07-09	2289	24
Liechtenstein - tests performed	2020-07-10	2315	26
Liechtenstein - tests performed	2020-07-11	2319	4
Liechtenstein - tests performed	2020-07-12	2334	15
Liechtenstein - tests performed	2020-07-13	2479	145
Liechtenstein - tests performed	2020-07-14	2566	87
Liechtenstein - tests performed	2020-07-15	2639	73
Liechtenstein - tests performed	2020-07-16	2675	36
Liechtenstein - tests performed	2020-07-17	2713	38
Liechtenstein - tests performed	2020-07-18	2720	7
Liechtenstein - tests performed	2020-07-19	2732	12
Liechtenstein - tests performed	2020-07-20	2775	43
Liechtenstein - tests performed	2020-07-21	2806	31
Liechtenstein - tests performed	2020-07-22	2839	33
Liechtenstein - tests performed	2020-07-23	2866	27
Liechtenstein - tests performed	2020-07-24	2888	22
Liechtenstein - tests performed	2020-07-25	2890	2
Liechtenstein - tests performed	2020-07-26	2900	10
Liechtenstein - tests performed	2020-07-27	3012	112
Liechtenstein - tests performed	2020-07-28	3090	78
Liechtenstein - tests performed	2020-07-29	3173	83
Liechtenstein - tests performed	2020-07-30	3212	39
Liechtenstein - tests performed	2020-07-31	3237	25
Liechtenstein - tests performed	2020-08-01	3240	3
Liechtenstein - tests performed	2020-08-02	3248	8
Liechtenstein - tests performed	2020-08-03	3297	49
Liechtenstein - tests performed	2020-08-04	3321	24
Liechtenstein - tests performed	2020-08-05	3349	28
Liechtenstein - tests performed	2020-08-06	3393	44
Liechtenstein - tests performed	2020-08-07	3426	33
Liechtenstein - tests performed	2020-08-08	3428	2
Liechtenstein - tests performed	2020-08-09	3438	10
Liechtenstein - tests performed	2020-08-10	3569	131
Liechtenstein - tests performed	2020-08-11	3666	97
Liechtenstein - tests performed	2020-08-12	3759	93
Liechtenstein - tests performed	2020-08-13	3795	36
Liechtenstein - tests performed	2020-08-14	3834	39
Liechtenstein - tests performed	2020-08-15	3841	7
Liechtenstein - tests performed	2020-08-16	3868	27
Liechtenstein - tests performed	2020-08-17	3926	58
Liechtenstein - tests performed	2020-08-18	3979	53
Liechtenstein - tests performed	2020-08-19	4024	45
Liechtenstein - tests performed	2020-08-20	4125	101
Liechtenstein - tests performed	2020-08-21	4173	48
Liechtenstein - tests performed	2020-08-22	4178	5
Liechtenstein - tests performed	2020-08-23	4192	14
Liechtenstein - tests performed	2020-08-24	4359	167
Liechtenstein - tests performed	2020-08-25	4466	107
Liechtenstein - tests performed	2020-08-26	4568	102
Liechtenstein - tests performed	2020-08-27	4646	78
Liechtenstein - tests performed	2020-08-28	4757	111
Liechtenstein - tests performed	2020-08-29	4762	5
Liechtenstein - tests performed	2020-08-30	4789	27
Liechtenstein - tests performed	2020-08-31	4939	150
Liechtenstein - tests performed	2020-09-01	5070	131
Liechtenstein - tests performed	2020-09-02	5231	161
Liechtenstein - tests performed	2020-09-03	5369	138
Liechtenstein - tests performed	2020-09-04	5464	95
Liechtenstein - tests performed	2020-09-05	5475	11
Liechtenstein - tests performed	2020-09-06	5485	10
Liechtenstein - tests performed	2020-09-07	5688	203
Liechtenstein - tests performed	2020-09-08	5728	40
Liechtenstein - tests performed	2020-09-09	5924	196
Liechtenstein - tests performed	2020-09-10	6077	153
Liechtenstein - tests performed	2020-09-11	6259	182
Liechtenstein - tests performed	2020-09-12	6263	4
Liechtenstein - tests performed	2020-09-13	6283	20
Liechtenstein - tests performed	2020-09-14	6425	142
Liechtenstein - tests performed	2020-09-15	6533	108
Liechtenstein - tests performed	2020-09-16	6658	125
Liechtenstein - tests performed	2020-09-17	6784	126
Liechtenstein - tests performed	2020-09-18	6858	74
Liechtenstein - tests performed	2020-09-19	6861	3
Liechtenstein - tests performed	2020-09-20	6885	24
Liechtenstein - tests performed	2020-09-21	7064	179
Liechtenstein - tests performed	2020-09-22	7221	157
Liechtenstein - tests performed	2020-09-23	7384	163
Liechtenstein - tests performed	2020-09-24	7483	99
Liechtenstein - tests performed	2020-09-25	7606	123
Liechtenstein - tests performed	2020-09-26	7612	6
Liechtenstein - tests performed	2020-09-27	7631	19
Liechtenstein - tests performed	2020-09-28	7751	120
Liechtenstein - tests performed	2020-09-29	7804	53
Liechtenstein - tests performed	2020-09-30	7906	102
Liechtenstein - tests performed	2020-10-01	8002	96
Liechtenstein - tests performed	2020-10-02	8068	66
Liechtenstein - tests performed	2020-10-03	8079	11
Liechtenstein - tests performed	2020-10-04	8105	26
Liechtenstein - tests performed	2020-10-05	8286	181
Liechtenstein - tests performed	2020-10-06	8391	105
Liechtenstein - tests performed	2020-10-07	8513	122
Liechtenstein - tests performed	2020-10-08	8618	105
Liechtenstein - tests performed	2020-10-09	8666	48
Liechtenstein - tests performed	2020-10-10	8670	4
Liechtenstein - tests performed	2020-10-11	8706	36
Liechtenstein - tests performed	2020-10-12	8808	102
Liechtenstein - tests performed	2020-10-13	8905	97
Liechtenstein - tests performed	2020-10-14	9013	108
Liechtenstein - tests performed	2020-10-15	9119	106
Liechtenstein - tests performed	2020-10-16	9219	100
Liechtenstein - tests performed	2020-10-17	9286	67
Liechtenstein - tests performed	2020-10-18	9294	8
Liechtenstein - tests performed	2020-10-19	9595	301
Liechtenstein - tests performed	2020-10-20	9812	217
Liechtenstein - tests performed	2020-10-21	10037	225
Liechtenstein - tests performed	2020-10-22	10185	148
Liechtenstein - tests performed	2020-10-23	10374	189
Liechtenstein - tests performed	2020-10-24	10495	121
Liechtenstein - tests performed	2020-10-25	10604	109
Liechtenstein - tests performed	2020-10-26	10800	196
Liechtenstein - tests performed	2020-10-27	11003	203
Liechtenstein - tests performed	2020-10-28	11156	153
Liechtenstein - tests performed	2020-10-29	11296	140
Liechtenstein - tests performed	2020-10-30	11434	138
Liechtenstein - tests performed	2020-10-31	11513	79
Liechtenstein - tests performed	2020-11-01	11588	75
Liechtenstein - tests performed	2020-11-02	11893	305
Liechtenstein - tests performed	2020-11-03	12122	229
Liechtenstein - tests performed	2020-11-04	12343	221
Liechtenstein - tests performed	2020-11-05	12504	161
Liechtenstein - tests performed	2020-11-06	12632	128
Liechtenstein - tests performed	2020-11-07	12696	64
Liechtenstein - tests performed	2020-11-08	12758	62
Liechtenstein - tests performed	2020-11-09	13015	257
Liechtenstein - tests performed	2020-11-10	13179	164
Liechtenstein - tests performed	2020-11-11	13327	148
Liechtenstein - tests performed	2020-11-12	13441	114
Liechtenstein - tests performed	2020-11-13	13522	81
Liechtenstein - tests performed	2020-11-14	13606	84
Liechtenstein - tests performed	2020-11-15	13648	42
Liechtenstein - tests performed	2020-11-16	13871	223
Liechtenstein - tests performed	2020-11-17	14086	215
Liechtenstein - tests performed	2020-11-18	14249	163
Liechtenstein - tests performed	2020-11-19	14369	120
Liechtenstein - tests performed	2020-11-20	14469	100
Liechtenstein - tests performed	2020-11-21	14530	61
Liechtenstein - tests performed	2020-11-22	14603	73
Liechtenstein - tests performed	2020-11-23	14850	247
Liechtenstein - tests performed	2020-11-24	15030	180
Liechtenstein - tests performed	2020-11-25	15188	158
Liechtenstein - tests performed	2020-11-26	15291	103
Liechtenstein - tests performed	2020-11-27	15379	88
Liechtenstein - tests performed	2020-11-28	15434	55
Liechtenstein - tests performed	2020-11-29	15478	44
Liechtenstein - tests performed	2020-11-30	15723	245
Liechtenstein - tests performed	2020-12-01	15888	165
Liechtenstein - tests performed	2020-12-02	16043	155
Liechtenstein - tests performed	2020-12-03	16132	89
Liechtenstein - tests performed	2020-12-04	16232	100
Liechtenstein - tests performed	2020-12-05	16316	84
Liechtenstein - tests performed	2020-12-06	16353	37
Liechtenstein - tests performed	2020-12-07	16536	183
Liechtenstein - tests performed	2020-12-08	16614	78
Liechtenstein - tests performed	2020-12-09	16816	202
Liechtenstein - tests performed	2020-12-10	16986	170
Liechtenstein - tests performed	2020-12-11	17143	157
Liechtenstein - tests performed	2020-12-12	17237	94
Liechtenstein - tests performed	2020-12-13	17322	85
Liechtenstein - tests performed	2020-12-14	17570	248
Liechtenstein - tests performed	2020-12-15	17806	236
Liechtenstein - tests performed	2020-12-16	18057	251
Liechtenstein - tests performed	2020-12-17	18294	237
Liechtenstein - tests performed	2020-12-18	18478	184
Liechtenstein - tests performed	2020-12-19	18615	137
Liechtenstein - tests performed	2020-12-20	18725	110
Liechtenstein - tests performed	2020-12-21	19019	294
Liechtenstein - tests performed	2020-12-22	19307	288
Liechtenstein - tests performed	2020-12-23	19613	306
Liechtenstein - tests performed	2020-12-24	19807	194
Liechtenstein - tests performed	2020-12-25	19911	104
Liechtenstein - tests performed	2020-12-26	20003	92
Liechtenstein - tests performed	2020-12-27	20129	126
Liechtenstein - tests performed	2020-12-28	20412	283
Liechtenstein - tests performed	2020-12-29	20612	200
Liechtenstein - tests performed	2020-12-30	20803	191
Liechtenstein - tests performed	2020-12-31	20939	136
Liechtenstein - tests performed	2021-01-01	21006	67
Liechtenstein - tests performed	2021-01-02	21076	70
Liechtenstein - tests performed	2021-01-03	21136	60
Liechtenstein - tests performed	2021-01-04	21412	276
Liechtenstein - tests performed	2021-01-05	21585	173
Liechtenstein - tests performed	2021-01-06	21661	76
Liechtenstein - tests performed	2021-01-07	21832	171
Liechtenstein - tests performed	2021-01-08	21950	118
Liechtenstein - tests performed	2021-01-09	21989	39
Liechtenstein - tests performed	2021-01-10	22040	51
Liechtenstein - tests performed	2021-01-11	22266	226
Liechtenstein - tests performed	2021-01-12	22455	189
Liechtenstein - tests performed	2021-01-13	22598	143
Liechtenstein - tests performed	2021-01-14	22681	83
Liechtenstein - tests performed	2021-01-15	22763	82
Liechtenstein - tests performed	2021-01-16	22834	71
Liechtenstein - tests performed	2021-01-17	22867	33
Liechtenstein - tests performed	2021-01-18	23057	190
Liechtenstein - tests performed	2021-01-19	23209	152
Liechtenstein - tests performed	2021-01-20	23397	188
Liechtenstein - tests performed	2021-01-21	23513	116
Liechtenstein - tests performed	2021-01-22	23627	114
Liechtenstein - tests performed	2021-01-23	23687	60
Liechtenstein - tests performed	2021-01-24	23727	40
Liechtenstein - tests performed	2021-01-25	23925	198
Liechtenstein - tests performed	2021-01-26	24149	224
Liechtenstein - tests performed	2021-01-27	24356	207
Liechtenstein - tests performed	2021-01-28	24486	130
Liechtenstein - tests performed	2021-01-29	24591	105
Liechtenstein - tests performed	2021-01-30	24638	47
Liechtenstein - tests performed	2021-01-31	24689	51
Liechtenstein - tests performed	2021-02-01	24904	215
Liechtenstein - tests performed	2021-02-02	24966	62
Liechtenstein - tests performed	2021-02-03	25177	211
Liechtenstein - tests performed	2021-02-04	25319	142
Liechtenstein - tests performed	2021-02-05	25459	140
Liechtenstein - tests performed	2021-02-06	25505	46
Liechtenstein - tests performed	2021-02-07	25547	42
Liechtenstein - tests performed	2021-02-08	25777	230
Liechtenstein - tests performed	2021-02-09	25994	217
Liechtenstein - tests performed	2021-02-10	26176	182
Liechtenstein - tests performed	2021-02-11	26327	151
Liechtenstein - tests performed	2021-02-12	26447	120
Liechtenstein - tests performed	2021-02-13	26517	70
Liechtenstein - tests performed	2021-02-14	26558	41
Liechtenstein - tests performed	2021-02-15	26769	211
Liechtenstein - tests performed	2021-02-16	26901	132
Liechtenstein - tests performed	2021-02-17	27063	162
Liechtenstein - tests performed	2021-02-18	27186	123
Liechtenstein - tests performed	2021-02-19	27301	115
Liechtenstein - tests performed	2021-02-20	27345	44
Liechtenstein - tests performed	2021-02-21	27393	48
Liechtenstein - tests performed	2021-02-22	27606	213
Liechtenstein - tests performed	2021-02-23	27771	165
Liechtenstein - tests performed	2021-02-24	27963	192
Liechtenstein - tests performed	2021-02-25	28096	133
Liechtenstein - tests performed	2021-02-26	28200	104
Liechtenstein - tests performed	2021-02-27	28281	81
Liechtenstein - tests performed	2021-02-28	28326	45
Liechtenstein - tests performed	2021-03-01	28541	215
Liechtenstein - tests performed	2021-03-02	28713	172
Liechtenstein - tests performed	2021-03-03	28878	165
Liechtenstein - tests performed	2021-03-04	29042	164
Liechtenstein - tests performed	2021-03-05	29164	122
Liechtenstein - tests performed	2021-03-06	29204	40
Liechtenstein - tests performed	2021-03-07	29261	57
Liechtenstein - tests performed	2021-03-08	29488	227
Liechtenstein - tests performed	2021-03-09	29679	191
Liechtenstein - tests performed	2021-03-10	29831	152
Liechtenstein - tests performed	2021-03-11	29998	167
Liechtenstein - tests performed	2021-03-12	30130	132
Liechtenstein - tests performed	2021-03-13	30217	87
Liechtenstein - tests performed	2021-03-14	30294	77
Liechtenstein - tests performed	2021-03-15	30512	218
Liechtenstein - tests performed	2021-03-16	30769	257
Liechtenstein - tests performed	2021-03-17	31023	254
Liechtenstein - tests performed	2021-03-18	31233	210
Liechtenstein - tests performed	2021-03-19	31344	111
Liechtenstein - tests performed	2021-03-20	31409	65
Liechtenstein - tests performed	2021-03-21	31478	69
Liechtenstein - tests performed	2021-03-22	31726	248
Liechtenstein - tests performed	2021-03-23	31962	236
Liechtenstein - tests performed	2021-03-24	32191	229
Liechtenstein - tests performed	2021-03-25	32406	215
Liechtenstein - tests performed	2021-03-26	32538	132
Liechtenstein - tests performed	2021-03-27	32617	79
Liechtenstein - tests performed	2021-03-28	32713	96
Liechtenstein - tests performed	2021-03-29	33023	310
Liechtenstein - tests performed	2021-03-30	33384	361
Liechtenstein - tests performed	2021-03-31	33766	382
Liechtenstein - tests performed	2021-04-01	34038	272
Liechtenstein - tests performed	2021-04-02	34238	200
Liechtenstein - tests performed	2021-04-03	34450	212
Liechtenstein - tests performed	2021-04-04	34578	128
Liechtenstein - tests performed	2021-04-05	34692	114
Liechtenstein - tests performed	2021-04-06	35028	336
Liechtenstein - tests performed	2021-04-07	35338	310
Liechtenstein - tests performed	2021-04-08	35644	306
Liechtenstein - tests performed	2021-04-09	35945	301
Liechtenstein - tests performed	2021-04-10	36094	149
Liechtenstein - tests performed	2021-04-11	36189	95
Liechtenstein - tests performed	2021-04-12	36493	304
Liechtenstein - tests performed	2021-04-13	36738	245
Liechtenstein - tests performed	2021-04-14	37015	277
Liechtenstein - tests performed	2021-04-15	37265	250
Liechtenstein - tests performed	2021-04-16	37476	211
Liechtenstein - tests performed	2021-04-17	37595	119
Liechtenstein - tests performed	2021-04-18	37729	134
Liechtenstein - tests performed	2021-04-19	38092	363
Liechtenstein - tests performed	2021-04-20	38302	210
Liechtenstein - tests performed	2021-04-21	38589	287
Liechtenstein - tests performed	2021-04-22	38842	253
Liechtenstein - tests performed	2021-04-23	39053	211
Liechtenstein - tests performed	2021-04-24	39161	108
Liechtenstein - tests performed	2021-04-25	39279	118
Liechtenstein - tests performed	2021-04-26	39587	308
Liechtenstein - tests performed	2021-04-27	39847	260
Liechtenstein - tests performed	2021-04-28	40142	295
Liechtenstein - tests performed	2021-04-29	40446	304
Liechtenstein - tests performed	2021-04-30	40695	249
Liechtenstein - tests performed	2021-05-01	40804	109
Liechtenstein - tests performed	2021-05-02	40902	98
Liechtenstein - tests performed	2021-05-03	41173	271
Liechtenstein - tests performed	2021-05-04	41367	194
Liechtenstein - tests performed	2021-05-05	41599	232
Lithuania - tests performed	2020-03-20	114	114
Lithuania - tests performed	2020-03-21	446	332
Lithuania - tests performed	2020-03-22	753	307
Lithuania - tests performed	2020-03-23	975	222
Lithuania - tests performed	2020-03-24	1360	385
Lithuania - tests performed	2020-03-25	2125	765
Lithuania - tests performed	2020-03-26	2550	425
Lithuania - tests performed	2020-03-27	3710	1160
Lithuania - tests performed	2020-03-28	4706	996
Lithuania - tests performed	2020-03-29	5713	1007
Lithuania - tests performed	2020-03-30	7388	1675
Lithuania - tests performed	2020-03-31	8863	1475
Lithuania - tests performed	2020-04-01	11156	2293
Lithuania - tests performed	2020-04-02	13659	2503
Lithuania - tests performed	2020-04-03	15965	2306
Lithuania - tests performed	2020-04-04	18290	2325
Lithuania - tests performed	2020-04-05	20459	2169
Lithuania - tests performed	2020-04-06	22257	1798
Lithuania - tests performed	2020-04-07	24201	1944
Lithuania - tests performed	2020-04-08	26354	2153
Lithuania - tests performed	2020-04-09	29588	3234
Lithuania - tests performed	2020-04-10	32357	2769
Lithuania - tests performed	2020-04-11	35108	2751
Lithuania - tests performed	2020-04-12	35953	845
Lithuania - tests performed	2020-04-13	36707	754
Lithuania - tests performed	2020-04-14	38328	1621
Lithuania - tests performed	2020-04-15	41341	3013
Lithuania - tests performed	2020-04-16	45599	4258
Lithuania - tests performed	2020-04-17	50863	5264
Lithuania - tests performed	2020-04-18	56670	5807
Lithuania - tests performed	2020-04-19	59438	2768
Lithuania - tests performed	2020-04-20	62589	3151
Lithuania - tests performed	2020-04-21	68133	5544
Lithuania - tests performed	2020-04-22	74814	6681
Lithuania - tests performed	2020-04-23	82168	7354
Lithuania - tests performed	2020-04-24	89597	7429
Lithuania - tests performed	2020-04-25	96383	6786
Lithuania - tests performed	2020-04-26	99596	3213
Lithuania - tests performed	2020-04-27	102369	2773
Lithuania - tests performed	2020-04-28	108231	5862
Lithuania - tests performed	2020-04-29	115152	6921
Lithuania - tests performed	2020-04-30	122790	7638
Lithuania - tests performed	2020-05-01	129870	7080
Lithuania - tests performed	2020-05-02	132582	2712
Lithuania - tests performed	2020-05-03	134960	2378
Lithuania - tests performed	2020-05-04	138987	4027
Lithuania - tests performed	2020-05-05	145371	6384
Lithuania - tests performed	2020-05-06	152612	7241
Lithuania - tests performed	2020-05-07	160773	8161
Lithuania - tests performed	2020-05-08	168599	7826
Lithuania - tests performed	2020-05-09	174270	5671
Lithuania - tests performed	2020-05-10	176607	2337
Lithuania - tests performed	2020-05-11	180866	4259
Lithuania - tests performed	2020-05-12	187869	7003
Lithuania - tests performed	2020-05-13	195812	7943
Lithuania - tests performed	2020-05-14	203242	7430
Lithuania - tests performed	2020-05-15	211514	8272
Lithuania - tests performed	2020-05-16	217226	5712
Lithuania - tests performed	2020-05-17	219728	2502
Lithuania - tests performed	2020-05-18	224423	4695
Lithuania - tests performed	2020-05-19	232160	7737
Lithuania - tests performed	2020-05-20	239313	7153
Lithuania - tests performed	2020-05-21	245811	6498
Lithuania - tests performed	2020-05-22	250934	5123
Lithuania - tests performed	2020-05-23	254834	3900
Lithuania - tests performed	2020-05-24	256774	1940
Lithuania - tests performed	2020-05-25	260690	3916
Lithuania - tests performed	2020-05-26	266217	5527
Lithuania - tests performed	2020-05-27	272485	6268
Lithuania - tests performed	2020-05-28	279104	6619
Lithuania - tests performed	2020-05-29	284504	5400
Lithuania - tests performed	2020-05-30	289113	4609
Lithuania - tests performed	2020-05-31	291255	2142
Lithuania - tests performed	2020-06-01	294959	3704
Lithuania - tests performed	2020-06-02	301045	6086
Lithuania - tests performed	2020-06-03	306634	5589
Lithuania - tests performed	2020-06-04	311595	4961
Lithuania - tests performed	2020-06-05	316385	4790
Lithuania - tests performed	2020-06-06	319324	2939
Lithuania - tests performed	2020-06-07	321256	1932
Lithuania - tests performed	2020-06-08	324729	3473
Lithuania - tests performed	2020-06-09	329906	5177
Lithuania - tests performed	2020-06-10	335089	5183
Lithuania - tests performed	2020-06-11	340154	5065
Lithuania - tests performed	2020-06-12	344430	4276
Lithuania - tests performed	2020-06-13	347572	3142
Lithuania - tests performed	2020-06-14	349289	1717
Lithuania - tests performed	2020-06-15	352712	3423
Lithuania - tests performed	2020-06-16	358512	5800
Lithuania - tests performed	2020-06-17	363650	5138
Lithuania - tests performed	2020-06-18	368786	5136
Lithuania - tests performed	2020-06-19	373199	4413
Lithuania - tests performed	2020-06-20	375768	2569
Lithuania - tests performed	2020-06-21	377452	1684
Lithuania - tests performed	2020-06-22	380594	3142
Lithuania - tests performed	2020-06-23	385151	4557
Lithuania - tests performed	2020-06-24	389152	4001
Lithuania - tests performed	2020-06-25	392080	2928
Lithuania - tests performed	2020-06-26	396542	4462
Lithuania - tests performed	2020-06-27	399035	2493
Lithuania - tests performed	2020-06-28	400685	1650
Lithuania - tests performed	2020-06-29	404426	3741
Lithuania - tests performed	2020-06-30	409526	5100
Lithuania - tests performed	2020-07-01	413969	4443
Lithuania - tests performed	2020-07-02	418000	4031
Lithuania - tests performed	2020-07-03	421796	3796
Lithuania - tests performed	2020-07-04	423680	1884
Lithuania - tests performed	2020-07-05	424611	931
Lithuania - tests performed	2020-07-06	425704	1093
Lithuania - tests performed	2020-07-07	427903	2199
Lithuania - tests performed	2020-07-08	431858	3955
Lithuania - tests performed	2020-07-09	435302	3444
Lithuania - tests performed	2020-07-10	438970	3668
Lithuania - tests performed	2020-07-11	440637	1667
Lithuania - tests performed	2020-07-12	441544	907
Lithuania - tests performed	2020-07-13	443828	2284
Lithuania - tests performed	2020-07-14	446926	3098
Lithuania - tests performed	2020-07-15	450116	3190
Lithuania - tests performed	2020-07-16	453360	3244
Lithuania - tests performed	2020-07-17	456444	3084
Lithuania - tests performed	2020-07-18	457979	1535
Lithuania - tests performed	2020-07-19	458979	1000
Lithuania - tests performed	2020-07-20	460604	1625
Lithuania - tests performed	2020-07-21	461379	775
Lithuania - tests performed	2020-07-22	462053	674
Lithuania - tests performed	2020-07-23	462657	604
Lithuania - tests performed	2020-07-24	463200	543
Lithuania - tests performed	2020-07-25	463427	227
Lithuania - tests performed	2020-07-26	463679	252
Lithuania - tests performed	2020-07-27	464209	530
Lithuania - tests performed	2020-07-28	466158	1949
Lithuania - tests performed	2020-07-29	471848	5690
Lithuania - tests performed	2020-07-30	476903	5055
Lithuania - tests performed	2020-07-31	481833	4930
Lithuania - tests performed	2020-08-01	484132	2299
Lithuania - tests performed	2020-08-02	485494	1362
Lithuania - tests performed	2020-08-03	488271	2777
Lithuania - tests performed	2020-08-04	491791	3520
Lithuania - tests performed	2020-08-05	496096	4305
Lithuania - tests performed	2020-08-06	500283	4187
Lithuania - tests performed	2020-08-07	504502	4219
Lithuania - tests performed	2020-08-08	506489	1987
Lithuania - tests performed	2020-08-09	507916	1427
Lithuania - tests performed	2020-08-10	511452	3536
Lithuania - tests performed	2020-08-11	515208	3756
Lithuania - tests performed	2020-08-12	518689	3481
Lithuania - tests performed	2020-08-13	522923	4234
Lithuania - tests performed	2020-08-14	528038	5115
Lithuania - tests performed	2020-08-15	531474	3436
Lithuania - tests performed	2020-08-16	532565	1091
Lithuania - tests performed	2020-08-17	535626	3061
Lithuania - tests performed	2020-08-18	539894	4268
Lithuania - tests performed	2020-08-19	543752	3858
Lithuania - tests performed	2020-08-20	547854	4102
Lithuania - tests performed	2020-08-21	552463	4609
Lithuania - tests performed	2020-08-22	555524	3061
Lithuania - tests performed	2020-08-23	557357	1833
Lithuania - tests performed	2020-08-24	560595	3238
Lithuania - tests performed	2020-08-25	564958	4363
Lithuania - tests performed	2020-08-26	570411	5453
Lithuania - tests performed	2020-08-27	575295	4884
Lithuania - tests performed	2020-08-28	580731	5436
Lithuania - tests performed	2020-08-29	583522	2791
Lithuania - tests performed	2020-08-30	585182	1660
Lithuania - tests performed	2020-08-31	589146	3964
Lithuania - tests performed	2020-09-01	593595	4449
Lithuania - tests performed	2020-09-02	598125	4530
Lithuania - tests performed	2020-09-03	602381	4256
Lithuania - tests performed	2020-09-04	607560	5179
Lithuania - tests performed	2020-09-05	609950	2390
Lithuania - tests performed	2020-09-06	611164	1214
Lithuania - tests performed	2020-09-07	614692	3528
Lithuania - tests performed	2020-09-08	619093	4401
